#Parameters = {d=6.875; d_passa_faixa=11.118252561128; e=3.984381e-11; l=5; p=11; p_passa_faixa=11.773094507628; phi=0; r=300; theta=0; u=1.2566e-06; w=0.6875; w_passa_faixa=0.13385049465315; z_fss=0.2}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                        #"Frequency / GHz" SZmin(1),Zmax(1) [Real/Imaginary Part] [Re] SZmin(1),Zmax(1) [Real/Imaginary Part] [Im]
                                                                                            #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                      3.88                                    0.345055                                   -0.908764
                                                                                                                                                                                                     3.904                                    0.338081                                    -0.91101
                                                                                                                                                                                                     3.928                                    0.331091                                   -0.913201
                                                                                                                                                                                                     3.952                                    0.324084                                   -0.915335
                                                                                                                                                                                                     3.976                                    0.317063                                   -0.917413
                                                                                                                                                                                                         4                                    0.310027                                   -0.919436
                                                                                                                                                                                                     4.024                                    0.302976                                   -0.921401
                                                                                                                                                                                                     4.048                                    0.295912                                    -0.92331
                                                                                                                                                                                                     4.072                                    0.288833                                   -0.925163
                                                                                                                                                                                                     4.096                                    0.281742                                   -0.926959
                                                                                                                                                                                                      4.12                                    0.274639                                   -0.928698
                                                                                                                                                                                                     4.144                                    0.267523                                    -0.93038
                                                                                                                                                                                                     4.168                                    0.260396                                   -0.932005
                                                                                                                                                                                                     4.192                                    0.253257                                   -0.933572
                                                                                                                                                                                                     4.216                                    0.246108                                   -0.935083
                                                                                                                                                                                                      4.24                                    0.238949                                   -0.936536
                                                                                                                                                                                                     4.264                                     0.23178                                   -0.937931
                                                                                                                                                                                                     4.288                                    0.224602                                   -0.939269
                                                                                                                                                                                                     4.312                                    0.217415                                   -0.940549
                                                                                                                                                                                                     4.336                                    0.210219                                   -0.941771
                                                                                                                                                                                                      4.36                                    0.203016                                   -0.942936
                                                                                                                                                                                                     4.384                                    0.195806                                   -0.944042
                                                                                                                                                                                                     4.408                                    0.188588                                   -0.945091
                                                                                                                                                                                                     4.432                                    0.181365                                   -0.946081
                                                                                                                                                                                                     4.456                                    0.174135                                   -0.947013
                                                                                                                                                                                                      4.48                                      0.1669                                   -0.947887
                                                                                                                                                                                                     4.504                                     0.15966                                   -0.948703
                                                                                                                                                                                                     4.528                                    0.152416                                    -0.94946
                                                                                                                                                                                                     4.552                                    0.145167                                   -0.950159
                                                                                                                                                                                                     4.576                                    0.137916                                     -0.9508
                                                                                                                                                                                                       4.6                                    0.130661                                   -0.951382
                                                                                                                                                                                                     4.624                                    0.123404                                   -0.951905
                                                                                                                                                                                                     4.648                                    0.116145                                    -0.95237
                                                                                                                                                                                                     4.672                                    0.108884                                   -0.952777
                                                                                                                                                                                                     4.696                                    0.101622                                   -0.953124
