#Parameters = {d=6.875; d_passa_faixa=11.118252561128; e=3.984381e-11; l=5; p=11; p_passa_faixa=11.773094507628; phi=0; r=300; theta=0; u=1.2566e-06; w=0.6875; w_passa_faixa=0.13385049465315; z_fss=0.2}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                        #"Frequency / GHz" SZmax(1),Zmax(1) [Real/Imaginary Part] [Re] SZmax(1),Zmax(1) [Real/Imaginary Part] [Im]
                                                                                            #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                     4.048                                   -0.141927                                   -0.030524
                                                                                                                                                                                                     4.072                                   -0.143096                                   -0.029514
                                                                                                                                                                                                     4.096                                   -0.144259                                   -0.028486
                                                                                                                                                                                                      4.12                                   -0.145416                                    -0.02744
                                                                                                                                                                                                     4.144                                   -0.146568                                   -0.026377
                                                                                                                                                                                                     4.168                                   -0.147713                                   -0.025297
                                                                                                                                                                                                     4.192                                   -0.148851                                   -0.024198
                                                                                                                                                                                                     4.216                                   -0.149983                                   -0.023083
                                                                                                                                                                                                      4.24                                   -0.151108                                   -0.021949
                                                                                                                                                                                                     4.264                                   -0.152226                                   -0.020798
                                                                                                                                                                                                     4.288                                   -0.153336                                    -0.01963
                                                                                                                                                                                                     4.312                                   -0.154439                                   -0.018443
                                                                                                                                                                                                     4.336                                   -0.155534                                    -0.01724
                                                                                                                                                                                                      4.36                                   -0.156621                                   -0.016019
                                                                                                                                                                                                     4.384                                     -0.1577                                    -0.01478
                                                                                                                                                                                                     4.408                                    -0.15877                                   -0.013524
                                                                                                                                                                                                     4.432                                   -0.159832                                   -0.012251
                                                                                                                                                                                                     4.456                                   -0.160885                                    -0.01096
                                                                                                                                                                                                      4.48                                   -0.161929                                   -0.009652
                                                                                                                                                                                                     4.504                                   -0.162964                                   -0.008327
                                                                                                                                                                                                     4.528                                   -0.163989                                   -0.006984
                                                                                                                                                                                                     4.552                                   -0.165004                                   -0.005624
                                                                                                                                                                                                     4.576                                    -0.16601                                   -0.004247
                                                                                                                                                                                                       4.6                                   -0.167005                                   -0.002853
                                                                                                                                                                                                     4.624                                    -0.16799                                   -0.001442
                                                                                                                                                                                                     4.648                                   -0.168965                                   -0.000013
                                                                                                                                                                                                     4.672                                   -0.169929                                    0.001432
                                                                                                                                                                                                     4.696                                   -0.170881                                    0.002895
