#Parameters = {d=5.317902894795; d_passa_faixa=11.118252561128; e=6.5892246517659e-11; l=5; p=5.3716190856516; p_passa_faixa=11.773094507628; phi=0; r=100; theta=0; u=1.1425808117681e-06; w=0.74443492474945; w_passa_faixa=0.13385049465315; z_fss=0.3}                                  Unnamed: 1                                  Unnamed: 2
                                                                                                                                                                                                                                        #"Frequency / GHz" SZmax(1),Zmax(1) [Real/Imaginary Part] [Re] SZmax(1),Zmax(1) [Real/Imaginary Part] [Im]
                                                                                                                                            #-------------------------------------------------------------------------------------------------------------                                         NaN                                         NaN
                                                                                                                                                                                                                                                     3.592                                   -0.491016                                    0.852559
                                                                                                                                                                                                                                                     3.616                                   -0.483952                                    0.856126
                                                                                                                                                                                                                                                      3.64                                   -0.476828                                     0.85964
                                                                                                                                                                                                                                                     3.664                                   -0.469646                                      0.8631
                                                                                                                                                                                                                                                     3.688                                   -0.462405                                    0.866506
                                                                                                                                                                                                                                                     3.712                                   -0.455104                                    0.869856
                                                                                                                                                                                                                                                     3.736                                   -0.447742                                     0.87315
                                                                                                                                                                                                                                                      3.76                                   -0.440319                                    0.876386
                                                                                                                                                                                                                                                     3.784                                   -0.432835                                    0.879564
                                                                                                                                                                                                                                                     3.808                                   -0.425289                                    0.882681
                                                                                                                                                                                                                                                     3.832                                    -0.41768                                    0.885738
                                                                                                                                                                                                                                                     3.856                                   -0.410008                                    0.888732
                                                                                                                                                                                                                                                      3.88                                   -0.402272                                    0.891663
                                                                                                                                                                                                                                                     3.904                                   -0.394472                                    0.894529
                                                                                                                                                                                                                                                     3.928                                   -0.386607                                    0.897329
                                                                                                                                                                                                                                                     3.952                                   -0.378675                                    0.900061
                                                                                                                                                                                                                                                     3.976                                   -0.370678                                    0.902723
                                                                                                                                                                                                                                                         4                                   -0.362614                                    0.905316
                                                                                                                                                                                                                                                     4.024                                   -0.354481                                    0.907835
                                                                                                                                                                                                                                                     4.048                                   -0.346281                                    0.910281
                                                                                                                                                                                                                                                     4.072                                   -0.338011                                    0.912652
                                                                                                                                                                                                                                                     4.096                                   -0.329671                                    0.914944
                                                                                                                                                                                                                                                      4.12                                   -0.321261                                    0.917158
                                                                                                                                                                                                                                                     4.144                                   -0.312779                                     0.91929
                                                                                                                                                                                                                                                     4.168                                   -0.304225                                    0.921339
